fe,fmu,ftau,chi2,ndof,shape_normalized
0.0666666667,0.3666666667,0.5666666666666667,0.00018049071572466918,25,True
0.0666666667,0.4,0.5333333333333333,0.0015022959753378303,25,True
0.0666666667,0.4333333333,0.5,0.006240151935545372,25,True
0.0666666667,0.4666666667,0.4666666666666667,0.013937997015039331,25,True
0.0666666667,0.5,0.43333333333333335,0.02419899482823464,25,True
0.0666666667,0.5333333333,0.4,0.0366771814691118,25,True
0.0666666667,0.5666666667,0.36666666666666664,0.051070409765083535,25,True
0.0666666667,0.6,0.3333333333333333,0.06711436962192913,25,True
0.0666666667,0.6333333333,0.3,0.08457750471225915,25,True
0.0666666667,0.6666666667,0.26666666666666666,0.103256677958324,25,True
0.0666666667,0.7,0.23333333333333334,0.12297346510278553,25,True
0.0666666667,0.7333333333,0.2,0.14357097689217965,25,True
0.0666666667,0.7666666667,0.16666666666666666,0.16491112709082703,25,True
0.0666666667,0.8,0.13333333333333333,0.18687227807793735,25,True
0.0666666667,0.8333333333,0.1,0.20934720711343058,25,True
0.0666666667,0.8666666667,0.06666666666666667,0.23224134534948837,25,True
0.0666666667,0.9,0.03333333333333333,0.25547124981570507,25,True
0.0666666667,0.9333333333,0.0,0.27896327481982347,25,True
0.1,0.0,0.9,0.44359376777997617,25,True
0.1,0.0333333333,0.8666666666666667,0.3436757101214433,25,True
0.1,0.0666666667,0.8333333333333334,0.2615011429946035,25,True
0.1,0.1,0.8,0.19446994238731563,25,True
0.1,0.1333333333,0.7666666666666666,0.14039770326361758,25,True
0.1,0.1666666667,0.7333333333333333,0.09744149344525237,25,True
0.1,0.2,0.7,0.06404032974396305,25,True
0.1,0.2333333333,0.6666666666666666,0.03886716897838111,25,True
0.1,0.2666666667,0.6333333333333333,0.020789968070861822,25,True
0.1,0.3,0.6,0.008839929892885168,25,True
0.1,0.3333333333,0.5666666666666667,0.0021854780109114725,25,True
0.1,0.3666666667,0.5333333333333333,0.00011082542096027046,25,True
0.1,0.4,0.5,0.0019982460189119943,25,True
0.1,0.4333333333,0.4666666666666667,0.007313346366321791,25,True
0.1,0.4666666667,0.43333333333333335,0.015592780256548151,25,True
0.1,0.5,0.4,0.026433961172137182,25,True
0.1,0.5333333333,0.36666666666666664,0.03948641628852545,25,True
0.1,0.5666666667,0.3333333333333333,0.05444449445741647,25,True
0.1,0.6,0.3,0.07104119568455372,25,True
0.1,0.6333333333,0.26666666666666666,0.08904293323943728,25,True
0.1,0.6666666667,0.23333333333333334,0.10824507365588007,25,True
0.1,0.7,0.2,0.1284681282379765,25,True
